,Unnamed: 0,Manufacturer Identification Number,Model Identification Numer,No. Of Driving Axles,max. Length,max. Width,max. Height,max. Gross Vehicle Weight,Manufacturer,Commercial Name,Type,Wheelbase,Power/Weight Ratio,Seats,Fuel Code,max. Top Speed,Fuel Type,Commercial Name New,Enedc (g/km)
55,160,5,AEQ,1.0,4488,1757,1369,1930,BMW,3er Reihe,346C,2725.0,0.0840336134453781,5,1,226.0,PETROL,3er Reihe,226.0
56,161,5,AER,1.0,4488,1757,1369,1965,BMW,3er Reihe,346C,2725.0,0.111658456486042,5,1,250.0,PETROL,3er Reihe,226.0
57,162,5,AES,1.0,4488,1757,1369,1860,BMW,3er Reihe,346C,2725.0,0.07773851590106,5,1,218.0,PETROL,3er Reihe,226.0
58,164,5,AEU,1.0,4488,1757,1369,1955,BMW,3er Reihe,346C,2725.0,0.0932231404958677,5,1,240.0,PETROL,3er Reihe,226.0
59,166,5,AEW,1.0,4488,1757,1369,1805,BMW,3er Reihe,346C,2725.0,0.0615942028985507,5,1,206.0,PETROL,3er Reihe,226.0
60,167,5,AEX,1.0,4488,1757,1369,1930,BMW,3er Reihe,346C,2725.0,0.080672268907563,5,1,226.0,PETROL,3er Reihe,226.0
61,168,5,AEY,1.0,3655,1688,1416,1400,MINI,MINI,MINI,2467.0,0.133891213389121,2,1,240.0,PETROL,MINI,193.33333333333334
62,170,5,AFA,2.0,4569,1853,1674,2300,BMW,X Reihe,X83,2795.0,0.0880330123796423,5,1,221.0,PETROL,0,
63,171,5,AFB,2.0,4569,1853,1674,2300,BMW,X Reihe,X83,2795.0,0.109439124487004,5,1,232.0,PETROL,0,
64,172,5,AFC,1.0,3714,1683,1407,1605,MINI,MINI,MINI-N,2467.0,0.105133470225872,4,1,225.0,PETROL,MINI,145.66666666666666
65,173,5,AFD,1.0,3699,1683,1407,1555,MINI,MINI,MINI-N,2467.0,0.0758620689655172,4,1,203.0,PETROL,MINI,145.66666666666666
66,174,5,AFE,1.0,3714,1683,1407,1605,MINI,MINI,MINI-N,2467.0,0.0985626283367556,4,1,222.0,PETROL,MINI,145.66666666666666
67,175,5,AFF,1.0,4580,1782,1395,2020,BMW,3er Reihe,392C,2760.0,0.139968895800933,4,1,250.0,PETROL,3er Reihe,172.68421052631578
68,178,5,AFI,1.0,4531,1817,1421,2070,BMW,3er Reihe,390L,2760.0,0.139103554868624,5,1,250.0,PETROL,3er Reihe,165.89655172413794
69,181,5,AFL,1.0,4527,1817,1418,2170,BMW,3er Reihe,390L,2760.0,0.132547864506627,5,1,250.0,PETROL,3er Reihe,165.89655172413794
70,182,5,AFM,1.0,4580,1782,1395,1930,BMW,3er Reihe,392C,2760.0,0.105960264900662,4,1,247.0,PETROL,3er Reihe,172.68421052631578
71,184,5,AFO,1.0,4580,1782,1395,1965,BMW,3er Reihe,392C,2760.0,0.129032258064516,4,1,250.0,PETROL,3er Reihe,172.68421052631578
72,186,5,AFQ,2.0,4580,1782,1395,2030,BMW,3er Reihe,390X,2760.0,0.0990712074303405,4,1,244.0,PETROL,3er Reihe,184.95454545454547
73,188,5,AFS,2.0,4580,1782,1395,2065,BMW,3er Reihe,390X,2760.0,0.121028744326777,4,1,250.0,PETROL,3er Reihe,184.95454545454547
74,189,5,AFT,2.0,4569,1853,1674,2300,BMW,X Reihe,X83,2795.0,0.0852819807427785,5,1,221.0,PETROL,0,
75,190,5,AFU,1.0,3655,1688,1415,1660,MINI,MINI,MINI,2467.0,0.0943396226415094,4,1,215.0,PETROL,MINI,193.33333333333334
76,191,5,AFV,1.0,3635,1688,1416,1510,MINI,MINI,MINI,2467.0,0.057516339869281,4,1,181.0,PETROL,MINI,193.33333333333334
77,192,5,AFW,1.0,3635,1688,1408,1520,MINI,MINI,MINI,2467.0,0.0734341252699784,4,1,200.0,PETROL,MINI,193.33333333333334
78,193,5,AFX,1.0,3655,1688,1416,1590,MINI,MINI,MINI,2467.0,0.0979591836734693,4,1,218.0,PETROL,MINI,193.33333333333334
79,194,5,AFY,1.0,3635,1688,1415,1590,MINI,MINI,MINI,2467.0,0.0675944333996023,4,1,193.0,PETROL,MINI,193.33333333333334
80,195,5,AFZ,1.0,3655,1688,1416,1590,MINI,MINI,MINI,2467.0,0.10204081632653,4,1,222.0,PETROL,MINI,193.33333333333334
81,196,5,AGA,1.0,3655,1688,1416,1590,MINI,MINI,MINI,2467.0,0.120647773279352,4,1,226.0,PETROL,MINI,193.33333333333334
82,197,5,AGB,1.0,3655,1688,1415,1660,MINI,MINI,MINI,2467.0,0.090566037735849,4,1,211.0,PETROL,MINI,193.33333333333334
83,198,5,AGC,1.0,3655,1688,1416,1570,MINI,MINI,MINI,2467.0,0.127572016460905,4,1,230.0,PETROL,MINI,193.33333333333334
84,199,5,AGD,1.0,3635,1688,1415,1565,MINI,MINI,MINI,2467.0,0.0532258064516129,4,1,175.0,PETROL,MINI,193.33333333333334
85,201,5,AGF,1.0,3655,1688,1415,1640,MINI,MINI,MINI,2467.0,0.11787072243346,4,1,223.0,PETROL,MINI,193.33333333333334
86,202,5,AGG,1.0,3655,1688,1415,1660,MINI,MINI,MINI,2467.0,0.111610486891385,4,1,223.0,PETROL,MINI,193.33333333333334
87,203,5,AGH,1.0,4580,1782,1395,1930,BMW,3er Reihe,392C,2760.0,0.102649006622516,4,1,245.0,PETROL,3er Reihe,172.68421052631578
88,204,5,AGI,1.0,3699,1683,1407,1555,MINI,MINI,MINI-N,2467.0,0.0732758620689655,4,1,201.0,PETROL,MINI,145.66666666666666
89,205,5,AGJ,1.0,4239,1748,1421,1820,BMW,1er Reihe,187,2660.0,0.0905797101449275,5,1,224.0,PETROL,,
90,206,5,AGK,1.0,4239,1748,1421,1820,BMW,1er Reihe,187,2660.0,0.0869565217391304,5,1,222.0,PETROL,,
91,214,5,AGS,2.0,4569,1853,1674,2200,BMW,X Reihe,X83,2795.0,0.0635838150289017,5,1,198.0,PETROL,0,
92,215,5,AGT,1.0,5179,1902,1484,3830,BMW,7er Reihe,767P,3128.0,0.0712209302325581,4,1,210.0,PETROL,,
93,216,5,AGU,1.0,5179,1902,1484,3930,BMW,7er Reihe,767P,3128.0,0.0923728813559322,4,1,210.0,PETROL,,
94,218,5,AGW,1.0,4580,1782,1395,1880,BMW,3er Reihe,392C,2760.0,0.0938023450586264,4,1,235.0,PETROL,3er Reihe,172.68421052631578
95,219,5,AGX,1.0,4820,1855,1374,2100,BMW,6er Reihe,663C,2780.0,0.156976744186046,4,1,250.0,PETROL,6er Reihe,227.0
96,220,5,AGY,1.0,4820,1855,1373,2120,BMW,6er Reihe,663C,2780.0,0.106145251396648,4,1,250.0,PETROL,6er Reihe,227.0
97,221,5,AGZ,1.0,4820,1855,1373,1960,BMW,6er Reihe,663C,2780.0,0.120253164556962,4,1,250.0,PETROL,6er Reihe,227.0
98,222,5,AHA,1.0,4820,1855,1374,2260,BMW,6er Reihe,663C,2780.0,0.139896373056994,4,1,250.0,PETROL,6er Reihe,227.0
99,223,5,AHB,2.0,4843,1846,1491,2300,BMW,5er Reihe,560X,2886.0,0.107496463932107,5,1,245.0,PETROL,5er Reihe,194.73333333333332
100,224,5,AHC,2.0,4843,1846,1491,2300,BMW,5er Reihe,560X,2886.0,0.0905233380480905,5,1,232.0,PETROL,5er Reihe,194.73333333333332
101,225,5,AHD,2.0,4841,1846,1482,2165,BMW,5er Reihe,560X,2888.0,0.0956651718983557,5,1,237.0,PETROL,5er Reihe,194.73333333333332
102,226,5,AHE,2.0,4841,1846,1482,2165,BMW,5er Reihe,560X,2888.0,0.113602391629297,5,1,250.0,PETROL,5er Reihe,194.73333333333332
103,227,5,AHF,2.0,4854,1933,1776,3000,BMW,X Reihe,X70,2933.0,0.117966101694915,7,1,245.0,PETROL,X Reihe,249.375
104,230,5,AHI,1.0,4580,1782,1384,2115,BMW,3er Reihe,392C,2760.0,0.0916905444126074,4,1,245.0,PETROL,3er Reihe,172.68421052631578
105,231,5,AHJ,1.0,4580,1782,1384,2115,BMW,3er Reihe,392C,2760.0,0.0888252148997134,4,1,243.0,PETROL,3er Reihe,172.68421052631578
106,232,5,AHK,1.0,4580,1782,1384,2180,BMW,3er Reihe,392C,2760.0,0.123796423658872,4,1,250.0,PETROL,3er Reihe,172.68421052631578
107,233,5,AHL,1.0,4580,1782,1384,2055,BMW,3er Reihe,392C,2760.0,0.0741839762611275,4,1,228.0,PETROL,3er Reihe,172.68421052631578
108,234,5,AHM,1.0,4580,1782,1384,2055,BMW,3er Reihe,392C,2760.0,0.0712166172106825,4,1,226.0,PETROL,3er Reihe,172.68421052631578
109,235,5,AHN,1.0,4580,1782,1384,2150,BMW,3er Reihe,392C,2760.0,0.111888111888111,4,1,250.0,PETROL,3er Reihe,172.68421052631578
110,238,5,AHQ,1.0,4580,1782,1395,1840,BMW,3er Reihe,392C,2760.0,0.0862068965517241,4,1,230.0,PETROL,3er Reihe,172.68421052631578
111,239,5,AHR,1.0,4580,1782,1395,1840,BMW,3er Reihe,392C,2760.0,0.0827586206896551,4,1,228.0,PETROL,3er Reihe,172.68421052631578
112,240,5,AHS,1.0,3699,1683,1407,1550,MINI,MINI,MINI-N,2467.0,0.0606060606060606,4,1,185.0,PETROL,MINI,145.66666666666666
113,242,5,AHU,2.0,4854,1933,1776,2900,BMW,X Reihe,X70,2933.0,0.0952380952380952,7,1,225.0,PETROL,X Reihe,249.375
114,246,5,AHZ,1.0,4841,1846,1468,2085,BMW,5er Reihe,560L,2888.0,0.0881889763779527,5,1,237.0,PETROL,5er Reihe,184.1
115,247,5,AIA,1.0,4841,1846,1468,2090,BMW,5er Reihe,560L,2888.0,0.100313479623824,5,1,248.0,PETROL,5er Reihe,184.1
116,248,5,AIB,1.0,4841,1846,1468,2100,BMW,5er Reihe,560L,2888.0,0.124223602484472,5,1,250.0,PETROL,5er Reihe,184.1
117,252,5,AIF,1.0,4843,1846,1491,2220,BMW,5er Reihe,560L,2886.0,0.0833333333333333,5,1,230.0,PETROL,5er Reihe,184.1
118,253,5,AIG,1.0,4843,1846,1491,2230,BMW,5er Reihe,560L,2886.0,0.0945347119645494,5,1,248.0,PETROL,5er Reihe,184.1
119,254,5,AIH,1.0,4843,1846,1491,2230,BMW,5er Reihe,560L,2886.0,0.117647058823529,5,1,250.0,PETROL,5er Reihe,184.1
120,258,5,AIL,1.0,4841,1846,1468,2385,BMW,5er Reihe,560L,2888.0,0.104302477183833,5,1,240.0,PETROL,5er Reihe,184.1
121,259,5,AIM,1.0,4841,1846,1468,2090,BMW,5er Reihe,560L,2888.0,0.0971786833855799,5,1,245.0,PETROL,5er Reihe,184.1
122,260,5,AIN,1.0,4843,1846,1491,2230,BMW,5er Reihe,560L,2886.0,0.0915805022156573,5,1,245.0,PETROL,5er Reihe,184.1
123,261,5,AIO,2.0,4841,1846,1482,2205,BMW,5er Reihe,560X,2888.0,0.0935672514619883,5,1,240.0,PETROL,5er Reihe,194.73333333333332
124,262,5,AIP,2.0,4841,1846,1482,2215,BMW,5er Reihe,560X,2888.0,0.116279069767441,5,1,250.0,PETROL,5er Reihe,194.73333333333332
125,264,5,AIR,2.0,4843,1846,1491,2340,BMW,5er Reihe,560X,2886.0,0.0886426592797784,5,1,233.0,PETROL,5er Reihe,194.73333333333332
126,265,5,AIS,2.0,4843,1846,1491,2335,BMW,5er Reihe,560X,2886.0,0.110803324099722,5,1,246.0,PETROL,5er Reihe,194.73333333333332
127,267,5,AIU,2.0,4531,1817,1421,2180,BMW,3er Reihe,390X,2760.0,0.130246020260492,5,1,250.0,PETROL,3er Reihe,184.95454545454547
128,268,5,AIV,2.0,4527,1817,1418,2270,BMW,3er Reihe,390X,2760.0,0.125173852573018,5,1,250.0,PETROL,3er Reihe,184.95454545454547
129,270,5,AIX,1.0,4580,1782,1384,2115,BMW,3er Reihe,392C,2760.0,0.0916905444126074,4,1,242.0,PETROL,3er Reihe,172.68421052631578
130,271,5,AIY,1.0,4841,1846,1468,2030,BMW,5er Reihe,560L,2888.0,0.0806451612903225,5,1,224.0,PETROL,5er Reihe,184.1
131,272,5,AIZ,1.0,4843,1846,1491,2190,BMW,5er Reihe,560L,2886.0,0.0757575757575757,5,1,220.0,PETROL,5er Reihe,184.1
132,273,5,AJA,1.0,4841,1846,1468,2030,BMW,5er Reihe,560L,2888.0,0.0774193548387096,5,1,221.0,PETROL,5er Reihe,184.1
133,274,5,AJB,1.0,4843,1846,1491,2190,BMW,5er Reihe,560L,2886.0,0.0727272727272727,5,1,217.0,PETROL,5er Reihe,184.1
134,281,5,AJI,1.0,3958,1683,1432,1715,MINI,MINI,MINI-N,2547.0,0.0990328820116054,5,1,224.0,PETROL,MINI,145.66666666666666
135,282,5,AJJ,1.0,3937,1683,1426,1685,MINI,MINI,MINI-N,2547.0,0.0709677419354838,5,1,201.0,PETROL,MINI,145.66666666666666
136,283,5,AJK,1.0,3958,1683,1432,1715,MINI,MINI,MINI-N,2547.0,0.09284332688588,5,1,220.0,PETROL,MINI,145.66666666666666
137,284,5,AJL,1.0,3937,1683,1426,1685,MINI,MINI,MINI-N,2547.0,0.0685483870967741,5,1,199.0,PETROL,MINI,145.66666666666666
138,285,5,AJM,1.0,4239,1748,1421,1820,BMW,1er Reihe,187,2660.0,0.0833333333333333,5,1,215.0,PETROL,,
139,286,5,AJN,1.0,4239,1748,1421,1800,BMW,1er Reihe,187,2660.0,0.0736648250460405,5,1,208.0,PETROL,,
140,290,5,AJR,1.0,4580,1782,1384,2055,BMW,3er Reihe,392C,2760.0,0.0682492581602373,4,1,216.0,PETROL,3er Reihe,172.68421052631578
141,291,5,AJS,1.0,4580,1782,1395,1840,BMW,3er Reihe,392C,2760.0,0.0793103448275862,4,1,220.0,PETROL,3er Reihe,172.68421052631578
142,293,5,AJU,1.0,4531,1817,1421,2015,BMW,3er Reihe,390L,2760.0,0.128205128205128,5,1,250.0,PETROL,3er Reihe,165.89655172413794
143,294,5,AJV,1.0,4527,1817,1418,2050,BMW,3er Reihe,390L,2760.0,0.0894568690095846,5,1,231.0,PETROL,3er Reihe,165.89655172413794
144,295,5,AJW,1.0,4531,1817,1421,1965,BMW,3er Reihe,390L,2760.0,0.0930232558139534,5,1,233.0,PETROL,3er Reihe,165.89655172413794
145,296,5,AJX,1.0,4527,1817,1418,2095,BMW,3er Reihe,390L,2760.0,0.12326656394453,5,1,250.0,PETROL,3er Reihe,165.89655172413794
146,297,5,AJY,1.0,4239,1748,1421,1790,BMW,1er Reihe,187,2660.0,0.0660482374768089,5,1,204.0,PETROL,,
147,298,5,AJZ,1.0,4239,1748,1421,1790,BMW,1er Reihe,187,2660.0,0.0667903525046382,5,1,204.0,PETROL,,
148,300,5,AKB,1.0,4360,1748,1408,1930,BMW,1er Reihe,182,2660.0,0.144,4,1,250.0,PETROL,,
149,304,5,AKF,1.0,4820,1855,1374,1990,BMW,6er Reihe,663C,2780.0,0.124223602484472,4,1,250.0,PETROL,6er Reihe,227.0
150,305,5,AKG,1.0,4820,1855,1374,2150,BMW,6er Reihe,663C,2780.0,0.109890109890109,4,1,250.0,PETROL,6er Reihe,227.0
151,310,5,AKL,2.0,4569,1853,1674,2200,BMW,X Reihe,X83,2795.0,0.0635838150289017,5,1,198.0,PETROL,0,
152,311,5,AKM,2.0,4569,1853,1674,2300,BMW,X Reihe,X83,2795.0,0.0880330123796423,5,1,221.0,PETROL,0,
153,312,5,AKN,2.0,4569,1853,1674,2300,BMW,X Reihe,X83,2795.0,0.0852819807427785,5,1,219.0,PETROL,0,
154,316,5,AKR,2.0,4569,1853,1674,2300,BMW,X Reihe,X83,2795.0,0.109439124487004,5,1,232.0,PETROL,0,
155,319,5,AKU,1.0,4580,1782,1395,1930,BMW,3er Reihe,392C,2760.0,0.105960264900662,4,1,250.0,PETROL,3er Reihe,172.68421052631578
156,320,5,AKV,1.0,4580,1782,1395,1930,BMW,3er Reihe,392C,2760.0,0.102649006622516,4,1,250.0,PETROL,3er Reihe,172.68421052631578
157,321,5,AKW,1.0,4580,1782,1395,1800,BMW,3er Reihe,392C,2760.0,0.0631578947368421,4,1,210.0,PETROL,3er Reihe,172.68421052631578
158,325,5,ALA,1.0,4531,1817,1421,1980,BMW,3er Reihe,390L,2760.0,0.105263157894736,5,1,250.0,PETROL,3er Reihe,165.89655172413794
159,326,5,ALB,1.0,4531,1817,1421,1980,BMW,3er Reihe,390L,2760.0,0.101973684210526,5,1,248.0,PETROL,3er Reihe,165.89655172413794
160,327,5,ALC,1.0,4531,1817,1421,1900,BMW,3er Reihe,390L,2760.0,0.0625,5,1,210.0,PETROL,3er Reihe,165.89655172413794
161,328,5,ALD,1.0,4531,1817,1421,1910,BMW,3er Reihe,390L,2760.0,0.0724137931034482,5,1,210.0,PETROL,3er Reihe,165.89655172413794
162,329,5,ALE,1.0,4531,1817,1421,1910,BMW,3er Reihe,390L,2760.0,0.0689655172413793,5,1,210.0,PETROL,3er Reihe,165.89655172413794
163,330,5,ALF,1.0,4531,1817,1421,1920,BMW,3er Reihe,390L,2760.0,0.0856164383561643,5,1,228.0,PETROL,3er Reihe,165.89655172413794
164,331,5,ALG,1.0,4531,1817,1421,1920,BMW,3er Reihe,390L,2760.0,0.0821917808219178,5,1,225.0,PETROL,3er Reihe,165.89655172413794
165,335,5,ALK,1.0,4527,1817,1418,2000,BMW,3er Reihe,390L,2760.0,0.069078947368421,5,1,210.0,PETROL,3er Reihe,165.89655172413794
166,336,5,ALL,1.0,4527,1817,1418,2000,BMW,3er Reihe,390L,2760.0,0.0657894736842105,5,1,210.0,PETROL,3er Reihe,165.89655172413794
167,337,5,ALM,1.0,4527,1817,1418,2000,BMW,3er Reihe,390L,2760.0,0.0822368421052631,5,1,226.0,PETROL,3er Reihe,165.89655172413794
168,338,5,ALN,1.0,4527,1817,1418,2000,BMW,3er Reihe,390L,2760.0,0.0789473684210526,5,1,223.0,PETROL,3er Reihe,165.89655172413794
169,339,5,ALO,1.0,4527,1817,1418,2080,BMW,3er Reihe,390L,2760.0,0.10062893081761,5,1,248.0,PETROL,3er Reihe,165.89655172413794
170,340,5,ALP,1.0,4527,1817,1418,2080,BMW,3er Reihe,390L,2760.0,0.0974842767295597,5,1,246.0,PETROL,3er Reihe,165.89655172413794
