,Manufacturer Identification Number,Model Identification Numer,No. Of Driving Axles,max. Length,max. Width,max. Height,max. Gross Vehicle Weight,Manufacturer,Commercial Name,Type,Wheelbase,Power/Weight Ratio,Seats,Fuel Code,max. Top Speed,Fuel Type
164,5,AEU,1.0,4488.0,1757.0,1369.0,1955,BMW,3er Reihe,346C,2725.0,0.09322314049586777,5.0,1,240.0,PETROL
166,5,AEW,1.0,4488.0,1757.0,1369.0,1805,BMW,3er Reihe,346C,2725.0,0.06159420289855073,5.0,1,206.0,PETROL
167,5,AEX,1.0,4488.0,1757.0,1369.0,1930,BMW,3er Reihe,346C,2725.0,0.08067226890756303,5.0,1,226.0,PETROL
168,5,AEY,1.0,3655.0,1688.0,1416.0,1400,MINI,MINI,MINI,2467.0,0.13389121338912133,2.0,1,240.0,PETROL
170,5,AFA,2.0,4569.0,1853.0,1674.0,2300,BMW,X Reihe,X83,2795.0,0.08803301237964237,5.0,1,221.0,PETROL
171,5,AFB,2.0,4569.0,1853.0,1674.0,2300,BMW,X Reihe,X83,2795.0,0.1094391244870041,5.0,1,232.0,PETROL
172,5,AFC,1.0,3714.0,1683.0,1407.0,1605,MINI,MINI,MINI-N,2467.0,0.10513347022587269,4.0,1,225.0,PETROL
173,5,AFD,1.0,3699.0,1683.0,1407.0,1555,MINI,MINI,MINI-N,2467.0,0.07586206896551724,4.0,1,203.0,PETROL
174,5,AFE,1.0,3714.0,1683.0,1407.0,1605,MINI,MINI,MINI-N,2467.0,0.09856262833675565,4.0,1,222.0,PETROL
175,5,AFF,1.0,4580.0,1782.0,1395.0,2020,BMW,3er Reihe,392C,2760.0,0.13996889580093314,4.0,1,250.0,PETROL
178,5,AFI,1.0,4531.0,1817.0,1421.0,2070,BMW,3er Reihe,390L,2760.0,0.1391035548686244,5.0,1,250.0,PETROL
181,5,AFL,1.0,4527.0,1817.0,1418.0,2170,BMW,3er Reihe,390L,2760.0,0.1325478645066274,5.0,1,250.0,PETROL
182,5,AFM,1.0,4580.0,1782.0,1395.0,1930,BMW,3er Reihe,392C,2760.0,0.10596026490066225,4.0,1,247.0,PETROL
184,5,AFO,1.0,4580.0,1782.0,1395.0,1965,BMW,3er Reihe,392C,2760.0,0.12903225806451613,4.0,1,250.0,PETROL
186,5,AFQ,2.0,4580.0,1782.0,1395.0,2030,BMW,3er Reihe,390X,2760.0,0.09907120743034056,4.0,1,244.0,PETROL
188,5,AFS,2.0,4580.0,1782.0,1395.0,2065,BMW,3er Reihe,390X,2760.0,0.12102874432677761,4.0,1,250.0,PETROL
189,5,AFT,2.0,4569.0,1853.0,1674.0,2300,BMW,X Reihe,X83,2795.0,0.08528198074277854,5.0,1,221.0,PETROL
190,5,AFU,1.0,3655.0,1688.0,1415.0,1660,MINI,MINI,MINI,2467.0,0.09433962264150944,4.0,1,215.0,PETROL
191,5,AFV,1.0,3635.0,1688.0,1416.0,1510,MINI,MINI,MINI,2467.0,0.05751633986928104,4.0,1,181.0,PETROL
192,5,AFW,1.0,3635.0,1688.0,1408.0,1520,MINI,MINI,MINI,2467.0,0.0734341252699784,4.0,1,200.0,PETROL
193,5,AFX,1.0,3655.0,1688.0,1416.0,1590,MINI,MINI,MINI,2467.0,0.09795918367346938,4.0,1,218.0,PETROL
194,5,AFY,1.0,3635.0,1688.0,1415.0,1590,MINI,MINI,MINI,2467.0,0.06759443339960239,4.0,1,193.0,PETROL
195,5,AFZ,1.0,3655.0,1688.0,1416.0,1590,MINI,MINI,MINI,2467.0,0.10204081632653061,4.0,1,222.0,PETROL
196,5,AGA,1.0,3655.0,1688.0,1416.0,1590,MINI,MINI,MINI,2467.0,0.12064777327935222,4.0,1,226.0,PETROL
197,5,AGB,1.0,3655.0,1688.0,1415.0,1660,MINI,MINI,MINI,2467.0,0.09056603773584905,4.0,1,211.0,PETROL
198,5,AGC,1.0,3655.0,1688.0,1416.0,1570,MINI,MINI,MINI,2467.0,0.12757201646090535,4.0,1,230.0,PETROL
199,5,AGD,1.0,3635.0,1688.0,1415.0,1565,MINI,MINI,MINI,2467.0,0.0532258064516129,4.0,1,175.0,PETROL
201,5,AGF,1.0,3655.0,1688.0,1415.0,1640,MINI,MINI,MINI,2467.0,0.11787072243346007,4.0,1,223.0,PETROL
202,5,AGG,1.0,3655.0,1688.0,1415.0,1660,MINI,MINI,MINI,2467.0,0.11161048689138577,4.0,1,223.0,PETROL
203,5,AGH,1.0,4580.0,1782.0,1395.0,1930,BMW,3er Reihe,392C,2760.0,0.10264900662251655,4.0,1,245.0,PETROL
204,5,AGI,1.0,3699.0,1683.0,1407.0,1555,MINI,MINI,MINI-N,2467.0,0.07327586206896551,4.0,1,201.0,PETROL
205,5,AGJ,1.0,4239.0,1748.0,1421.0,1820,BMW,1er Reihe,187,2660.0,0.09057971014492754,5.0,1,224.0,PETROL
