abi_code,INFORCE,MARKET_QTY
1023902, -   ,0
1024001, -   ,30
1024101, -   ,0
1024102, -   ,1
1024201, -   ,282
1024301,12,474
1024401, -   ,0
1024501, -   ,0
1024601,1,1
1024602,1,1
1024603, -   ,0
1024701,1,2
1024702, -   ,0
1024703, -   ,0
1024704, -   ,0
1024801, -   ,0
1024802, -   ,0
1024803, -   ,0
1024901, -   ,0
1025001, -   ,0
1025101,7,141
1025102,1,7
1025201,1,5
1025202, -   ,6
1025203, -   ,4
1025204, -   ,6
1025301, -   ,0
1025302, -   ,0
1025401, -   ,0
1025501,34,381
1025502, -   ,9
1025601, -   ,4
1025701, -   ,0
1025801, -   ,49
1025901,1,53
1025902, -   ,2
1026001,3,34
1026002, -   ,6
1026101, -   ,2
1026201, -   ,55
1026301,1,3
1026401,2,246
1026402,6,75
1026501,15,326
1026502,1,52
1026503,2,2
1026504,1,60
1026601,2,2
1026602, -   ,5
1026701, -   ,25
1026702, -   ,140
1026801,32,187
1026901, -   ,0
1027001, -   ,73
1027002, -   ,1
1027101,1,6
1027102, -   ,2
1027201,2,521
1027202, -   ,19
1027203,11,169
1027204,2,16
1027301,3,31
1027401, -   ,20
1027501, -   ,0
1027601,1,96
1027602,4,307
1027701,6,260
1027702,1,14
1027801,17,284
1027901,38,369
1028001,7,198
1028101,1,76
1028201,74,424
1028301,3,3
1028401,10,185
1028501,23,"1,620"
1028601,100,"2,849"
1028701,38,"1,656"
1028801,1,39
1028901,32,391
1029001,4,967
1029101,12,249
1029201,50,891
1029301,3,30
1029401,1,141
1029501,2,33
1029601,6,351
1029701, -   ,0
1029801, -   ,0
1029901, -   ,0
1030001,36,366
1030101,12,232
1030201, -   ,0
1030301, -   ,0
1030401, -   ,0
1030402, -   ,0
1030501, -   ,48
1030502, -   ,9
1030601, -   ,0
1030701, -   ,0
1030801, -   ,0
1030802, -   ,0
1030901, -   ,0
1030902, -   ,0
1031001, -   ,0
1031101, -   ,4
1031102, -   ,0
1031201, -   ,0
1031301, -   ,0
1031401, -   ,0
1031501,9,208
1031502,4,53
1031601, -   ,9
1031602, -   ,1
1031701,2,66
1031702,5,21
1031801, -   ,0
1031901, -   ,3
1031902, -   ,1
1031903, -   ,1
1031904, -   ,0
1032001,3,21
1032002,1,60
1032101, -   ,0
1032201,1,10
1032202, -   ,2
1032301,10,312
1032302,1,173
1032401, -   ,0
1032501, -   ,0
1032502, -   ,0
1032503, -   ,9
1032504, -   ,12
1032601, -   ,21
1032602, -   ,0
1032701, -   ,0
1032801,8,150
1032802,2,34
1032901,1,48
1032902, -   ,3
1033001, -   ,0
1033101, -   ,0
1033201, -   ,0
1033202,1,1
1033301, -   ,0
1033401, -   ,0
1033501,3,26
1033502,1,6
1033601, -   ,14
1033602,3,73
1033701, -   ,0
1033801, -   ,0
1033901, -   ,0
1033902, -   ,0
1034001, -   ,0
1034101, -   ,0
1034201, -   ,0
1034301, -   ,0
1034401, -   ,0
1034501, -   ,0
1034601, -   ,0
1034701, -   ,0
1034702, -   ,0
1034801, -   ,0
1034901, -   ,0
1035001, -   ,0
1035002, -   ,0
1035101,25,414
1035102,3,141
1035201, -   ,0
1035301, -   ,0
1035401,2,309
1035501, -   ,0
1035601, -   ,0
1035701, -   ,0
1035801, -   ,0
1035901, -   ,0
1036001, -   ,0
1036101, -   ,0
1036201, -   ,0
1036301, -   ,0
1036401, -   ,0
1036501, -   ,0
1036601, -   ,15
1036701, -   ,40
1036801, -   ,0
1036901,2,44
1037001,4,32
1037101, -   ,0
1037201,1,11
1037301,43,263
1037302,3,61
1037401, -   ,0
1037501, -   ,0
1037502, -   ,0
1037601, -   ,0
1037701, -   ,0
1037801,28,911
1037802,3,278
1037901,13,368
1038001, -   ,0
1038101,6,181
1038201,3,124
1038301,1,1
1038401,2,203
1038501,3,172
1038601, -   ,0
1038701,0,736
1038801,53,"1,285"
1038802,41,275
1038901,0,"2,438"
1038902,33,229
1039001,71,292
1039101,5,255
1039201,86,"1,161"
1039301,29,"1,745"
1039302,2,121
1039401,0,"3,610"
1039402,21,376
1039501, -   ,0
1039601,1,2
1039701,1,1
1039801, -   ,0
1039901, -   ,23
1039902,13,23
1040001,2,2
1040002,4,4
1040101,0,"1,707"
1040201,11,290
1040301,1,1
1040401, -   ,0
1040501, -   ,0
1040601, -   ,0
1040701, -   ,0
1040801, -   ,0
1040901, -   ,0
1041001, -   ,0
1041101, -   ,0
1041201, -   ,0
1041202, -   ,0
1041301,1,6
1041401, -   ,1
1041501, -   ,0
1041601, -   ,0
1041701, -   ,0
1041702, -   ,0
1041801, -   ,0
1041901, -   ,0
1041902, -   ,0
1042001, -   ,5
1042101, -   ,51
1042102,1,76
1042201,12,"1,441"
1042301,8,296
1042401,45,981
1042501,48,"1,478"
1042601,1,24
1042602, -   ,11
1042701,8,293
1042702,3,7
1042801,1,39
1042802, -   ,2
1042901, -   ,0
1043001,4,356
1043101,2,3
1043201,27,484
1043301,12,471
1043401,2,596
1043501,72,"1,272"
1043601,2,28
1043701, -   ,0
1043801,26,419
1043901,27,806
1043902,14,523
1044001,14,71
1044101,13,98
1044201, -   ,59
1044301,33,570
1044401,24,542
1044501,13,378
1050001,1,47
1055001,1,28
1055002, -   ,22
1056001, -   ,36
1056101, -   ,12
1056401, -   ,14
1057001, -   ,76
1057101,1,114
1057102, -   ,168
1057103,24,115
1057104,5,149
1057105,11,244
1057106,2,82
1057107,9,76
1057108,36,240
1057109,22,123
1057110, -   ,47
1057111,11,186
1057112,30,234
1057113,11,209
1057114,16,335
1057115,10,126
1057116, -   ,1
1057117,14,504
1057118,0,297
1057119,3,776
1057120,22,432
1057121,6,249
1057122,38,300
1057123,51,388
1057124,51,490
1057125,24,368
1057126,14,226
1057127,6,29
1057128,13,261
1057129,11,173
1057130,21,153
1057131,35,584
1057132,30,230
1057133,5,506
1057134,14,333
1057135,10,273
1057136,8,177
1057137,32,357
1057138, -   ,0
1057139,8,467
1057140,13,80
1057141,4,12
1057142, -   ,5
1057143,2,361
1057144, -   ,669
1057145,32,460
1057146,1,89
1057147,60,532
1057148, -   ,262
1057149,27,99
1057150,5,161
1057151,56,749
1057152, -   ,36
1057153,35,517
1057154,5,129
1057155,5,43
1057156,21,185
1057157,6,47
1057158,35,422
1057159,1,50
1057160,21,445
1057161,11,186
1057162,7,61
1057163,1,39
1057164,2,37
1057165,15,303
1057166,8,52
1057167,15,29
1057168,9,136
1057169,4,80
1057170,4,117
1057171, -   ,19
1057172,6,101
1057173,4,43
1057174,11,31
1057175, -   ,15
1057176,5,51
1057177,3,60
1057178,6,90
1057179,7,55
1057180,1,2
1057181,36,195
1057182,2,117
1057183,18,183
1057184,13,45
1057185,20,339
1057186,2,32
1057187,3,156
1057188,2,68
1057189,4,155
1057190,22,663
1057191,10,490
1057192,10,37
1057193,27,271
1057194,19,88
1057195,36,507
1057196,14,203
1057197,4,68
1057198,1,45
1057199,13,351
1057200,33,324
1057201,7,671
1057202,4,95
1057203,2,45
1057204,58,529
1057205,16,120
1057206,20,238
1057207,2,33
1057208,21,357
1057209,4,100
1057210,4,25
1057211,13,183
1057212,1,17
1057213,6,120
1057214,11,115
1057215,2,69
1057216,0,128
1057217,80,720
1057218,8,501
1057219,1,148
1057220, -   ,65
1057221,18,917
1057222,51,"1,533"
1057223,99,"1,805"
1057224,0,4
1057225, -   ,2
1057226,7,98
1057227,2,25
1057228,1,125
1057229,7,110
1057230,33,471
1057231,2,"1,093"
1057232,157,157
1057233,55,451
1057234,40,649
1057235,21,431
1057236,14,69
1057237,8,133
1057238,11,110
1057239,2,25
1057240,31,118
1057241,63,63
1057242, -   ,15
1057243,1,16
1057244, -   ,113
1057245, -   ,12
1057246,5,185
1057247,111,416
1057248,13,187
1057249, -   ,0
1057250, -   ,0
1057251,14,111
1057252, -   ,33
1057253, -   ,28
1057254,3,61
1057256,9,247
1057257,3,63
1057258,7,79
1057259,1,2
1057260, -   ,6
1057261, -   ,0
1057262,5,18
1057263,7,36
1057264,55,101
1057265,1,2
1057266,37,187
1057267,13,40
1057268,97,302
1057269,34,135
1057270,5,9
1057271,3,20
1057272,5,52
1057273,2,35
1057274,1,32
1057275,23,199
1057276, -   ,0
1057277,36,807
1057278, -   ,9
1057279, -   ,13
1057280, -   ,7
1057281, -   ,0
1057282, -   ,0
2000101, -   ,0
2000201, -   ,0
2000301, -   ,0
2000401, -   ,0
2000501, -   ,0
2000601, -   ,0
2000701, -   ,0
2001101, -   ,0
2001201, -   ,0
2002201, -   ,0
2002301, -   ,0
2003101, -   ,0
2003301, -   ,0
2003401, -   ,0
2004401, -   ,0
2004501, -   ,0
2005501, -   ,0
2100101, -   ,0
2200101,2,51
2200201,7,7
2200301,7,150
2200302,187,"1,105"
2200303,1,1
2200304,88,456
2200305,26,478
2200306,54,"3,066"
2200307,43,"1,748"
2200308,16,63
2200309,7,874
2200310,8,8
2200311,18,18
2200312,121,121
2200313,636,636
2200314,10,10
2200315,480,480
2200316,1,1
2200317,6,6
2200318,8,8
2200319,21,"1,445"
2200320, -   ,482
2200321,84,236
2200322, -   ,13
2200323,29,123
2200324,70,113
2200325,209,"1,345"
2200326,4,22
2200327,183,"1,017"
2200328, -   ,0
2200329,831,"22,325"
2200330,"3,541","38,819"
2200331,"1,806","11,740"
2200332,6,6
2200333,84,84
2200334,4,4
2200335,51,51
2200336,106,106
2200337,11,11
2200338,35,35
2200339,6,6
2200340,396,"9,514"
2200341,16,16
2200342,10,10
2200343, -   ,0
2200344, -   ,0
2200345, -   ,0
2200346, -   ,0
2200347, -   ,0
2200348, -   ,0
2200349, -   ,0
2400101,15,15
2400102,5,5
2400103, -   ,0
2400104,1,1
2400201,2,2
2400202,3,3
2400301,5,5
2400302, -   ,0
2400401,1,1
2400402,13,13
2400403,6,6
2400404, -   ,0
2400405, -   ,0
2400406, -   ,0
2400407,16,16
2400408,2,2
2400409,2,2
2400410,9,9
2400411,2,2
2400412,3,3
2400413,3,3
2400414,2,2
2400415,7,7
2400416,17,17
2400417,3,3
2400418, -   ,0
2400419, -   ,0
2400420, -   ,0
2400421, -   ,0
2400422, -   ,0
2400423, -   ,0
2400424,1,1
2400425, -   ,0
2400426, -   ,0
2400427, -   ,0
2400428, -   ,0
2400429, -   ,0
2400430, -   ,0
2400431, -   ,0
2400432,2,2
2500101, -   ,0
2500102, -   ,0
2500201, -   ,0
2500301, -   ,0
2501101, -   ,0
2502101,1,1
2503101, -   ,0
2503201, -   ,0
2503401, -   ,0
2503501, -   ,0
2503601, -   ,0
2503801, -   ,0
2504001, -   ,0
2700101, -   ,0
3000101, -   ,0
3000201, -   ,0
3001201, -   ,0
3001301, -   ,0
3002301,1,1
3002401, -   ,0
3003401, -   ,0
3004401, -   ,0
3004501, -   ,0
3004601, -   ,0
3005601, -   ,0
3005801, -   ,0
3005901, -   ,0
3200101, -   ,0
3200201, -   ,0
3200301, -   ,0
3201101, -   ,0
3201201, -   ,0
3300101, -   ,127
3300201, -   ,39
3301001, -   ,2
3301101, -   ,22
3301201, -   ,26
3500101, -   ,0
3500201, -   ,34
3500202, -   ,201
3500301, -   ,0
3500401, -   ,0
3500501, -   ,0
3500601, -   ,0
3500701, -   ,73
3500801, -   ,0
3500901, -   ,0
3501001, -   ,0
3501101, -   ,0
3501201, -   ,0
3501301, -   ,0
3501401, -   ,1
3501501, -   ,0
3501601, -   ,0
3501701, -   ,215
3501702, -   ,883
3501801, -   ,122
3501802, -   ,633
3501901, -   ,0
3502001, -   ,0
3502101, -   ,0
3502201, -   ,194
3502202, -   ,75
3502301, -   ,173
3502401, -   ,0
3502402, -   ,0
3502501, -   ,150
3502601, -   ,372
3502701, -   ,0
3502702, -   ,0
3502801, -   ,"1,205"
3502802, -   ,0
3502803, -   ,0
