,Manufacturer Identification Number,Model Identification Numer,HSN_TSN,No. Of Driving Axles,max. Length,max. Width,max. Height,max. Gross Vehicle Weight,Manufacturer,Commercial Name,Type,Wheelbase,Power/Weight Ratio,Seats,Fuel Code,max. Top Speed,Fuel Type
35953,1329,AFU,1329_AFU,1,4980,1845,1493,2400,INFINITI,"INFINITI Q70,Infiniti Q70",Y51H,2900,0.11930010604453871,5,8,250,Hybrid Petrol/Electric
35954,1329,AFV,1329_AFV,1,4445,1770,1550,1970,NISSAN,"NISSAN LEAF 30kWh,NISSAN",ZE0,2700,0.05084207181442644,5,4,145,Electric
35955,1329,AFW,1329_AFW,1,3825,1675,1525,1530,NISSAN,MICRA,K13,2450,0.06620689655172414,5,1,183,Petrol
35956,1329,AFX,1329_AFX,1,4541,1783,1646,2255,NISSAN,NISSAN QASHQAI+2,J10,2765,0.05946113347785692,7,2,189, Diesel
35957,1329,AFY,1329_AFY,2,4541,1783,1646,2320,NISSAN,NISSAN QASHQAI+2,J10,2765,0.05722801788375559,7,2,189, Diesel
35958,1329,AFZ,1329_AFZ,1,4330,1783,1623,2085,NISSAN,NISSAN QASHQAI,J10,2630,0.06380857427716849,5,2,190, Diesel
35959,1329,AGA,1329_AGA,2,4330,1783,1623,2100,NISSAN,NISSAN QASHQAI,J10,2630,0.061146496815286625,5,2,190, Diesel
35960,1329,AGB,1329_AGB,1,6198,2070,2815,3500,NISSAN,NISSAN NV400,M1,4332,0.03270718232044199,7,2,134, Diesel
35963,1329,AGE,1329_AGE,1,5548,2070,2499,3500,NISSAN,NISSAN NV400,M9,3682,0.035062781331438045,9,2,143, Diesel
35964,1329,AGF,1329_AGF,1,5548,2070,2499,3500,NISSAN,NISSAN NV400,M9,3682,0.04359156597962568,9,2,147, Diesel
35965,1329,AGG,1329_AGG,1,5548,2070,2499,3500,NISSAN,NISSAN NV400,M9,3682,0.05040037682524729,9,2,151, Diesel
35969,1329,AGK,1329_AGK,2,5500,1848,1914,3500,NISSAN,NISSAN NAVARA,D401,3200,0.06755126658624849,5,2,180, Diesel
35970,1329,AGL,1329_AGL,2,5500,1848,1914,3240,NISSAN,NISSAN NAVARA,D401,3200,0.07709750566893424,5,2,195, Diesel
35971,1329,AGM,1329_AGM,1,5500,1848,1907,2805,NISSAN,NISSAN NAVARA,D401,3200,0.05904059040590406,5,2,172, Diesel
35972,1329,AGN,1329_AGN,2,4813,1848,1862,2880,NISSAN,NISSAN PATHFINDER,R51,2852,0.06270996640537514,7,2,186, Diesel
35973,1329,AGO,1329_AGO,2,4813,1848,1862,2980,NISSAN,NISSAN PATHFINDER,R51,2852,0.0735930735930736,7,2,200, Diesel
35974,1329,AGP,1329_AGP,2,4670,1895,1370,2200,NISSAN,NISSAN GT-R,R35,2780,0.22696629213483147,4,1,315,Petrol
35975,1329,AGQ,1329_AGQ,1,6268,2100,2120,3500,NISSAN,"NISSAN NT400 CABSTAR,NISS",F91AN,3400,0.04247286455875413,3,2,133, Diesel
35976,1329,AGR,1329_AGR,1,6463,2100,2135,3500,NISSAN,"NISSAN NT400 CABSTAR,NISS",F91AN,3400,0.045136538027533285,6,2,139, Diesel
35977,1329,AGS,1329_AGS,1,5562,1900,2210,3500,NISSAN,"NISSAN NT400 CABSTAR,NISS",F91AN,2900,0.035523978685612786,3,2,133, Diesel
35978,1329,AGT,1329_AGT,1,6412,1900,2210,3500,NISSAN,"NISSAN NT400 CABSTAR,NISS",F91AN,3400,0.03863987635239567,6,2,139, Diesel
35979,1329,AGU,1329_AGU,2,5500,1848,1914,3500,NISSAN,NISSAN NAVARA,D401,3200,0.051331719128329296,5,2,168, Diesel
35984,1329,AGZ,1329_AGZ,1,5500,1848,1907,2805,NISSAN,NISSAN NAVARA,D401,3200,0.05293383270911361,5,2,168, Diesel
35985,1329,AHA,1329_AHA,1,5548,2070,2499,3500,NISSAN,NISSAN NV400,M9,3682,0.05212035062781331,9,2,147, Diesel
35988,1329,AHD,1329_AHD,1,4165,1770,1565,1735,NISSAN,NISSAN JUKE,F15,2530,0.10990654205607477,5,1,215,Petrol
35989,1329,AHE,1329_AHE,2,4165,1770,1565,1860,NISSAN,NISSAN JUKE,F15,2530,0.10034129692832765,5,1,200,Petrol
35992,1329,AHH,1329_AHH,1,4135,1765,1565,1645,NISSAN,"Nissan Juke,NISSAN JUKE",F15,2530,0.05616605616605617,5,1,168,Petrol
35993,1329,AHI,1329_AHI,2,4900,1925,1643,2595,CRD,InfinitiFX Vettel Edition,S51 Vettel,2885,0.144392523364486,5,1,250,Petrol
35994,1329,AHJ,1329_AHJ,1,4410,1870,1310,1800,NISSAN,NISSAN 370Z,Z34,2550,0.15753424657534246,2,1,250,Petrol
35995,1329,AHK,1329_AHK,2,4900,1925,1643,2595,CRD CAR RESEARCH GMBH,InfinitiFX Vettel Edition,S51 Vettel,2885,0.144392523364486,5,1,250,Petrol
35996,1329,AHL,1329_AHL,1,4810,1820,1445,2300,INFINITI,INFINITI Q50,V37,2850,0.06845564074479737,5,2,231, Diesel
35997,1329,AHM,1329_AHM,2,4810,1820,1445,2355,INFINITI,INFINITI Q50,V37,2850,0.11618900077459333,5,8,250,Hybrid Petrol/Electric
35998,1329,AHN,1329_AHN,1,4140,1695,1535,1510,NISSAN,NISSAN NOTE,E12,2600,0.05205116894574327,5,1,170,Petrol
35999,1329,AHO,1329_AHO,1,4140,1695,1535,1615,NISSAN,NISSAN NOTE,E12,2600,0.053877551020408164,5,2,179, Diesel
36000,1329,AHP,1329_AHP,1,4810,1820,1430,2280,INFINITI,INFINITI Q50,V37,2850,0.12080536912751678,5,8,250,Hybrid Petrol/Electric
36001,1329,AHQ,1329_AHQ,1,4394,1806,1624,1880,NISSAN,NISSAN QASHQAI,J11,2646,0.05944055944055944,5,1,185,Petrol
36002,1329,AHR,1329_AHR,1,4394,1806,1624,1910,NISSAN,NISSAN QASHQAI,J11,2646,0.0552901023890785,5,2,182, Diesel
36003,1329,AHS,1329_AHS,1,4394,1806,1624,2005,NISSAN,NISSAN QASHQAI,J11,2646,0.06254071661237785,5,2,190, Diesel
36004,1329,AHT,1329_AHT,2,4394,1806,1630,2030,NISSAN,NISSAN QASHQAI,J11,2646,0.05983172327827984,5,2,190, Diesel
36005,1329,AHU,1329_AHU,1,4140,1695,1535,1590,NISSAN,NISSAN NOTE,E12,2600,0.06017551190973673,5,1,181,Petrol
36006,1329,AHV,1329_AHV,1,5720,1870,3200,3500,BÖCKER,AGILO,LAA,2900,0.02674591381872214,3,2,128, Diesel
36007,1329,AHW,1329_AHW,1,5720,1870,3200,3500,BÖCKER,AGILO,LAA,2900,0.029455081001472753,3,2,139, Diesel
36008,1329,AHX,1329_AHX,1,5720,1870,3200,3500,BÖCKER,AGILO,LAA,2900,0.031654676258992806,3,2,125, Diesel
36009,1329,AHY,1329_AHY,1,6463,2100,2135,3500,NISSAN,NISSAN NT400 CABSTAR,F91AN,3400,0.0470639982405982,6,2,139, Diesel
36010,1329,AHZ,1329_AHZ,1,4560,1755,1850,2250,NISSAN,NISSAN e-NV200,ME0N,2725,0.0488997555012225,2,4,123,Electric
36011,1329,AIA,1329_AIA,1,4560,1755,1850,2250,NISSAN,NISSAN e-NV200,ME0M,2725,0.046189376443418015,7,4,123,Electric
36012,1329,AIB,1329_AIB,1,4690,1830,1730,2310,NISSAN,NISSAN X-TRAIL,T32,2705,0.05642080517190714,7,2,188, Diesel
36013,1329,AIC,1329_AIC,2,4690,1830,1730,2320,NISSAN,NISSAN X-TRAIL,T32,2705,0.05506165758531689,7,2,186, Diesel
36014,1329,AID,1329_AID,1,4135,1765,1565,1710,NISSAN,"Nissan Juke,NISSAN JUKE",F15,2530,0.06390977443609022,5,1,178,Petrol
36015,1329,AIE,1329_AIE,1,4810,1820,1445,2165,INFINITI,INFINITI Q50,V37,2850,0.08789339381910972,5,1,245,Petrol
36016,1329,AIF,1329_AIF,1,6198,2070,2815,3500,NISSAN,NISSAN NV400,M1,4332,0.036868456986800184,7,2,140, Diesel
36021,1329,AIK,1329_AIK,1,5548,2070,2499,3500,NISSAN,NISSAN NV400,M9,3682,0.038153556288271315,9,2,140, Diesel
36022,1329,AIL,1329_AIL,1,5548,2070,2499,3500,NISSAN,NISSAN NV400,M9,3682,0.04738213693437574,9,2,151, Diesel
36023,1329,AIM,1329_AIM,1,5548,2070,2499,3500,NISSAN,NISSAN NV400,M9,3682,0.05685856432125089,9,2,161, Diesel
36027,1329,AIQ,1329_AIQ,1,4387,1768,1515,1750,NISSAN,NISSAN PULSAR,C13,2700,0.06383777694329704,5,1,190,Petrol
36028,1329,AIR,1329_AIR,1,4387,1768,1515,1785,NISSAN,NISSAN PULSAR,C13,2700,0.05844155844155844,5,2,190, Diesel
36031,1329,AIU,1329_AIU,2,4690,1895,1370,2200,NISSAN,NISSAN GT-R,R35,2780,0.24936386768447838,4,1,315,Petrol
36032,1329,AIV,1329_AIV,1,4400,1695,1860,2040,NISSAN,Nissan NV200,M20M,2725,0.054612054612054615,5,1,169,Petrol
36033,1329,AIW,1329_AIW,1,4165,1770,1565,1770,NISSAN,"Nissan Juke,NISSAN JUKE",F15,2530,0.11527377521613832,5,1,220,Petrol
36034,1329,AIX,1329_AIX,2,4165,1770,1565,1880,NISSAN,"Nissan Juke,NISSAN JUKE",F15,2530,0.10393909301555776,5,1,200,Petrol
36035,1329,AIY,1329_AIY,1,4980,1845,1493,2405,INFINITI,INFINITI Q70,Y51,2900,0.06648936170212766,5,2,220, Diesel
36036,1329,AIZ,1329_AIZ,1,5399,1956,1971,3010,NISSAN,NISSAN NV300,4,3498,0.05316129032258064,6,2,180, Diesel
36037,1329,AJA,1329_AJA,1,5399,1956,1971,3010,NISSAN,NISSAN NV300,4,3498,0.04541935483870968,6,2,171, Diesel
36038,1329,AJB,1329_AJB,1,5399,1956,1971,3000,NISSAN,NISSAN NV300,4,3498,0.044087136929460584,6,2,168, Diesel
36039,1329,AJC,1329_AJC,1,5399,1956,1971,3000,NISSAN,NISSAN NV300,4,3498,0.03423236514522822,6,2,153, Diesel
36040,1329,AJD,1329_AJD,1,5399,1956,1971,3010,NISSAN,NISSAN NV300,J4,3498,0.05212550607287449,9,2,181, Diesel
36041,1329,AJE,1329_AJE,1,5399,1956,1971,3010,NISSAN,NISSAN NV300,J4,3498,0.044534412955465584,9,2,172, Diesel
36042,1329,AJF,1329_AJF,1,5399,1956,1971,3000,NISSAN,NISSAN NV300,J4,3498,0.0430161943319838,9,2,168, Diesel
36043,1329,AJG,1329_AJG,1,5399,1956,1971,3000,NISSAN,NISSAN NV300,J4,3498,0.03340080971659919,9,2,152, Diesel
36044,1329,AJH,1329_AJH,1,4394,1806,1624,1900,NISSAN,NISSAN QASHQAI,J11,2646,0.08205128205128205,5,1,200,Petrol
36045,1329,AJI,1329_AJI,1,4387,1768,1515,1785,NISSAN,NISSAN PULSAR,C13,2700,0.09971509971509972,5,1,217,Petrol
36046,1329,AJJ,1329_AJJ,1,4690,1830,1730,2210,NISSAN,NISSAN X-TRAIL,T32,2705,0.07285974499089254,7,1,200,Petrol
36047,1329,AJK,1329_AJK,2,5330,1850,1840,3000,NISSAN,NISSAN NP300 NAVARA,D231,3150,0.05891016200294551,5,2,172, Diesel
36048,1329,AJL,1329_AJL,2,5330,1850,1840,3010,NISSAN,NISSAN NP300 NAVARA,D231,3150,0.06769825918762089,5,2,184, Diesel
36049,1329,AJM,1329_AJM,1,5330,1850,1795,3035,NISSAN,"NISSAN NAVARA,NISSAN NP30",D231,3150,0.058379956215032835,5,2,172, Diesel
36050,1329,AJN,1329_AJN,1,5548,2070,2499,3500,NISSAN,NISSAN NV400,M9,3682,0.058713010803193987,9,2,161, Diesel
36051,1329,AJO,1329_AJO,2,4425,1815,1530,2075,INFINITI,"INFINITI Q30,INFINITI QX3",H15,2700,0.07518796992481203,5,2,215, Diesel
36052,1329,AJP,1329_AJP,1,4425,1805,1510,1960,INFINITI,"INFINITI Q30S,INFINITI Q3",H15,2700,0.05228758169934641,5,2,190, Diesel
36053,1329,AJQ,1329_AJQ,2,4425,1815,1530,1990,INFINITI,"INFINITI QX30,INFINITI Q3",H15,2700,0.09733124018838304,5,1,230,Petrol
36054,1329,AJR,1329_AJR,1,4425,1805,1510,1920,INFINITI,INFINITI Q30,H15,2700,0.06004002668445631,5,1,200,Petrol
36055,1329,AJS,1329_AJS,2,5330,1850,1840,3045,NISSAN,"NISSAN NAVARA,NISSAN NP30",D231,3150,0.06349206349206349,5,2,184, Diesel
36056,1329,AJT,1329_AJT,2,5330,1850,1840,3045,NISSAN,"NISSAN NAVARA,NISSAN NP30",D231,3150,0.05544005544005544,5,2,172, Diesel
36057,1329,AJU,1329_AJU,1,4425,1805,1510,2020,INFINITI,"INFINITI Q30,INFINITI Q30",H15,2700,0.07756748371082842,5,2,220, Diesel
36058,1329,AJV,1329_AJV,1,4425,1805,1510,1940,INFINITI,"INFINITI Q30S,INFINITI Q3",H15,2700,0.10087862024080703,5,1,235,Petrol
36059,1329,AJW,1329_AJW,1,4425,1805,1510,1920,INFINITI,"INFINITI Q30S,INFINITI Q3",H15,2700,0.07513884351519111,5,1,215,Petrol
36060,1329,AJX,1329_AJX,2,4865,1925,1674,2520,INFINITI,INFINITI QX70,S51BE,2885,0.11536573392243496,5,1,233,Petrol
36061,1329,AJY,1329_AJY,2,4865,1925,1674,2700,INFINITI,INFINITI QX70,S51BE,2885,0.08217891523831886,5,2,212, Diesel
36062,1329,AJZ,1329_AJZ,1,6412,1900,2210,3500,NISSAN,NISSAN NT400 CABSTAR,F91AN,3400,0.040286144578313254,6,2,139, Diesel
36065,1329,AKC,1329_AKC,1,4810,1820,1430,2235,INFINITI,INFINITI Q50,V37,2850,0.16378125858752404,5,1,250,Petrol
36066,1329,AKD,1329_AKD,2,4710,1895,1370,2200,NISSAN,NISSAN GT-R,R35,2780,0.2351290684624018,4,1,315,Petrol
36067,1329,AKE,1329_AKE,2,4690,1850,1395,2265,INFINITI,INFINITI Q60,V37,2850,0.15721445528884198,4,1,250,Petrol
36068,1329,AKF,1329_AKF,1,4690,1850,1395,2140,INFINITI,INFINITI Q60,V37,2850,0.0875458909912454,4,1,235,Petrol
36069,1329,AKG,1329_AKG,1,5399,1956,1971,3020,NISSAN,NISSAN NV300,J4,3498,0.05624178712220762,9,2,177, Diesel
36070,1329,AKH,1329_AKH,1,5399,1956,1971,3020,NISSAN,NISSAN NV300,J4,3498,0.04835742444152431,9,2,169, Diesel
36071,1329,AKI,1329_AKI,1,5399,1956,1971,3010,NISSAN,NISSAN NV300,J4,3498,0.035723398826231184,9,2,153, Diesel
36072,1329,AKJ,1329_AKJ,1,5399,1956,2498,3070,NISSAN,NISSAN NV300,4,3498,0.05364753070945099,6,2,183, Diesel
36073,1329,AKK,1329_AKK,1,5399,1956,2498,3070,NISSAN,NISSAN NV300,4,3498,0.04612684883429431,6,2,177, Diesel
36074,1329,AKL,1329_AKL,1,5399,1956,1971,3050,NISSAN,NISSAN NV300,4,3498,0.03558718861209965,6,2,154, Diesel
36075,1329,AKM,1329_AKM,1,5399,1956,1971,3050,NISSAN,NISSAN NV300,4,3498,0.045246568378240974,6,2,163, Diesel
36077,1329,AKO,1329_AKO,1,6198,2070,,3510,NISSAN,NISSAN NV400,M6,4332,0.05701254275940707,3,2,161, Diesel
36078,1329,AKP,1329_AKP,1,6198,2070,,3510,NISSAN,NISSAN NV400,M6,4332,0.036734693877551024,3,2,140, Diesel
36080,1329,AKR,1329_AKR,1,6198,2070,2815,3500,NISSAN,NISSAN NV400,M1,4332,0.055741360089186176,7,2,161, Diesel
36084,1329,AKV,1329_AKV,1,4690,1830,1730,2330,NISSAN,NISSAN X-TRAIL,T32,2705,0.07443458345261952,7,2,199, Diesel
36085,1329,AKW,1329_AKW,2,4690,1830,1730,2400,NISSAN,NISSAN X-TRAIL,T32,2705,0.07256488975718671,7,2,204, Diesel
36088,1329,AKZ,1329_AKZ,1,5713,1900,2235,3500,NISSAN,NISSAN NT400,F91AN,2900,0.0367816091954023,6,2,133, Diesel
36089,1329,ALA,1329_ALA,1,5713,1900,2235,3500,NISSAN,NISSAN NT400,F91AN,2900,0.04156433024749669,6,2,138, Diesel
36090,1329,ALB,1329_ALB,1,3999,1743,1455,1590,NISSAN,"NISSAN MICRA,MICRA",K14,2525,0.055415617128463476,5,2,179, Diesel
36091,1329,ALC,1329_ALC,1,3999,1743,1455,1530,NISSAN,"NISSAN MICRA,MICRA",K14,2525,0.05869275233437083,5,1,175,Petrol
36092,1329,ALD,1329_ALD,1,3999,1743,1455,1490,NISSAN,"NISSAN MICRA,MICRA",K14,2525,0.04755372656607224,5,1,158,Petrol
36093,1329,ALE,1329_ALE,1,4490,1788,1540,1995,NISSAN,Nissan Leaf 40kWh,ZE1,2700,0.055900621118012424,5,4,144,Electric
36094,1329,ALF,1329_ALF,1,5399,1956,1971,2890,NISSAN,NISSAN NV300,J4,3498,0.0435847208619001,9,2,166, Diesel
36095,1329,ALG,1329_ALG,2,5330,1905,1885,3035,ARCTIC TRUCKS,Nissan Navara AT32,ATN1NIS,3150,0.060566731559593336,5,2,180, Diesel
